obs_rms_mean,obs_rms_std,param_noise_stddev,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_Q_mean,reference_actor_Q_std,reference_perturbed_action_mean,reference_perturbed_action_std,rollout/Q_mean,rollout/actions_mean,rollout/actions_std,rollout/episode_steps,rollout/episodes,rollout/return,rollout/return_history,rollout/return_history_std,rollout/return_std,total/duration,total/episodes,total/epochs,total/steps,total/steps_per_second,train/loss_actor,train/loss_critic,train/param_noise_distance
0.0,1.0,0.18105739093859663,-41.08741760253906,14.929184913635254,-0.9943830966949463,0.0025189584121108055,-40.56291580200195,15.059815406799316,-0.9988111257553101,0.001764330081641674,-20.562917709350586,-0.2679506838321686,0.6567413806915283,200.0,10.0,-1344.29150390625,-1344.29150390625,326.0962829589844,326.0962829589844,8.15477991104126,10.0,1,2000,245.25493291266838,40.66925048828125,10.517430305480957,0.9928981065750122
0.0,1.0,0.16067924131698763,-61.56953048706055,29.7786865234375,0.6621416807174683,0.6884745359420776,-60.04389190673828,29.523130416870117,0.8347337245941162,0.22426137328147888,-43.95821762084961,-0.29971611499786377,0.6804185509681702,200.0,20.0,-1365.1141357421875,-1365.1141357421875,269.2200927734375,269.2200927734375,16.215935707092285,20.0,2,4000,246.67093359592806,72.97481536865234,21.626541137695312,0.8770501613616943
0.0,1.0,0.1316837837193291,-76.950439453125,43.42194747924805,0.015781329944729805,0.8474360108375549,-73.99725341796875,43.28746032714844,-0.36161866784095764,0.5764490962028503,-59.39868927001953,-0.014320516027510166,0.7720187306404114,200.0,30.0,-1348.4796142578125,-1348.4796142578125,246.7682342529297,246.7682342529297,24.79119062423706,30.0,3,6000,242.02145394881163,94.36857604980469,47.540008544921875,0.4417809844017029
0.0,1.0,0.10792071678026853,-74.8403549194336,43.117332458496094,0.04399063438177109,0.9139374494552612,-71.24234008789062,41.31967544555664,0.7778098583221436,0.4275077283382416,-60.52547836303711,-0.0913873165845871,0.7605506777763367,200.0,40.0,-1317.083740234375,-1317.083740234375,262.1924743652344,262.1924743652344,33.071685552597046,40.0,4,8000,241.8987682764714,80.90409088134766,47.2325553894043,1.287063717842102
0.0,1.0,0.08844582667210643,-70.90117645263672,37.782859802246094,0.17594479024410248,0.9133198261260986,-67.641845703125,36.98475646972656,-0.09532580524682999,0.7408967614173889,-61.006351470947266,-0.0875057727098465,0.7491819262504578,200.0,50.0,-1300.905517578125,-1300.905517578125,248.3605194091797,248.3605194091797,41.496875286102295,50.0,5,10000,240.98199999528873,72.89544677734375,43.34556198120117,0.5934026837348938
0.0,1.0,0.0724852881735357,-70.91282653808594,39.548702239990234,0.05878176540136337,0.9352505803108215,-67.02494049072266,38.67544937133789,-0.39908507466316223,0.71150141954422,-61.00079345703125,-0.08769813925027847,0.7527327537536621,200.0,60.0,-1280.48876953125,-1280.48876953125,252.57118225097656,252.57118225097656,50.35904002189636,60.0,6,12000,238.28889499844198,70.8454818725586,35.09042739868164,0.3980030417442322
0.0,1.0,0.05940491710342653,-70.12425231933594,35.652774810791016,0.19293667376041412,0.8914507031440735,-66.90859985351562,35.14524459838867,0.4280325174331665,0.6483052372932434,-60.62194061279297,-0.11492519080638885,0.7512089014053345,200.0,70.0,-1252.8052978515625,-1252.8052978515625,269.88958740234375,269.88958740234375,59.30143690109253,70.0,7,14000,236.08196920000893,71.7231674194336,61.73273849487305,0.3239452540874481
0.0,1.0,0.048684971322958646,-80.99739074707031,41.77177047729492,0.20241987705230713,0.9167395830154419,-77.05810546875,42.27774429321289,0.5380706787109375,0.7058877348899841,-59.75224304199219,-0.0832030177116394,0.7538589835166931,200.0,80.0,-1229.10546875,-1229.10546875,286.3494567871094,286.3494567871094,67.41408491134644,80.0,8,16000,237.3391261045961,74.61743927001953,45.59247970581055,0.5846086144447327
0.0,1.0,0.039899499036260555,-76.74855041503906,48.08010482788086,0.19131575524806976,0.8934592604637146,-72.40634155273438,48.196529388427734,0.10545764863491058,0.8484907746315002,-58.46729278564453,-0.056486114859580994,0.7515724897384644,200.0,90.0,-1200.8489990234375,-1200.8489990234375,313.4369201660156,313.4369201660156,75.47485041618347,90.0,9,18000,238.49003874462005,70.4786605834961,56.17649841308594,0.27311962842941284
0.0,1.0,0.03335667202186392,-72.25885009765625,56.43473815917969,0.13166725635528564,0.908501386642456,-67.39329528808594,56.8208122253418,-0.06802711635828018,0.8619562983512878,-55.102413177490234,-0.053515270352363586,0.7403404712677002,200.0,100.0,-1153.6629638671875,-1153.6629638671875,357.7397155761719,357.7397155761719,83.36493420600891,100.0,10,20000,239.90902398575165,58.985267639160156,32.347198486328125,0.3506775498390198
0.0,1.0,0.027886755354071244,-66.46736907958984,57.340850830078125,0.10483908653259277,0.9019290804862976,-61.19076156616211,58.6199951171875,0.1356746256351471,0.8418567180633545,-51.13190460205078,-0.05216800794005394,0.7386841773986816,200.0,110.0,-1101.5316162109375,-1077.2557373046875,388.9097595214844,391.2302551269531,91.73649072647095,110.0,11,22000,239.8173270612346,48.08161163330078,52.23289108276367,0.3655035197734833
0.0,1.0,0.02426044449968572,-60.40875244140625,60.0659065246582,0.0989188626408577,0.8929516077041626,-55.31851577758789,60.79798889160156,0.16059815883636475,0.85640949010849,-45.315521240234375,-0.06763236224651337,0.7265787720680237,200.0,120.0,-1039.2396240234375,-974.0646362304688,433.5771179199219,435.8627624511719,103.12249517440796,120.0,12,24000,232.73292562800702,36.25125503540039,58.898406982421875,0.44890648126602173
0.0,1.0,0.020689822899908242,-53.675418853759766,63.60544204711914,0.13098755478858948,0.8929186463356018,-47.536766052246094,64.75264739990234,-0.05540057644248009,0.8906295299530029,-39.13505554199219,-0.0730668306350708,0.7124106884002686,200.0,130.0,-980.04052734375,-869.5088500976562,464.6587829589844,469.9571228027344,114.37032985687256,130.0,13,26000,227.33168674548202,23.518014907836914,32.701995849609375,0.5170713663101196
0.0,1.0,0.017297050171870294,-43.799564361572266,64.98709106445312,0.1446060836315155,0.8976158499717712,-38.470794677734375,65.4329605102539,0.1734015792608261,0.905742347240448,-32.18288040161133,-0.080204539000988,0.6937254667282104,200.0,140.0,-922.0276489257812,-764.00537109375,484.555419921875,499.7790222167969,125.9170618057251,140.0,14,28000,222.3685940448693,10.8816556930542,35.6167106628418,0.2032092958688736
