# {"t_start": 1558813813.5158052, "env_id": "Pendulum-v0"} 
r,l,t
-1382.607261,200,389.948646
-1283.076536,200,390.739765
-239.562104,200,391.546297
-246.757537,200,392.356783
-951.712994,200,393.15971
-253.158079,200,393.981989
-349.189586,200,394.919778
-1418.669631,200,395.708407
-238.629068,200,396.507116
-1392.053007,200,397.312098
-1015.377848,200,398.125057
-1305.051668,200,398.93509
-267.108839,200,399.743177
-132.493353,200,400.546232
-493.744028,200,401.385914
-135.492016,200,402.191477
-917.320978,200,403.108177
-252.261624,200,403.910677
-3.955423,200,404.722039
-244.901406,200,405.532663
-1522.060286,200,406.351985
-1177.169766,200,407.127845
-1068.958017,200,407.92955
-1248.583442,200,408.72383
-761.913457,200,409.532876
-8.400219,200,410.318398
-1259.948002,200,411.253483
-249.59629,200,412.030822
-923.240806,200,412.843892
-12.27092,200,413.653703
-1288.846307,200,414.451029
-9.381301,200,415.263471
-338.895046,200,416.04359
-1024.961979,200,416.84951
-121.41053,200,417.660873
-1162.898356,200,418.455909
-241.805728,200,419.384043
-1313.843863,200,420.176957
-130.584553,200,420.981526
-344.310876,200,421.797078
-253.386484,200,422.597054
-1347.63622,200,423.404797
-253.363434,200,424.210469
-11.863251,200,424.993926
-256.706929,200,425.786448
-1333.748692,200,426.601079
