# {"t_start": 1558813813.5158052, "env_id": "Pendulum-v0"} 
r,l,t
-1618.21058,200,1.524861
-1367.037633,200,2.251011
-1455.295814,200,3.027618
-521.781164,200,3.819758
-1733.125114,200,4.629407
-1629.740729,200,5.472197
-1090.803519,200,6.280453
-1356.76082,200,7.084425
-1364.571871,200,7.915286
-1305.587005,200,8.714624
-1219.042536,200,9.560878
-1204.733076,200,10.363333
-1499.90789,200,11.125906
-1700.327363,200,11.868973
-1346.504229,200,12.737976
-1199.95726,200,13.538852
-1489.720526,200,14.348453
-1087.453392,200,15.156599
-1630.877062,200,15.965961
-1480.845876,200,16.797578
-1060.405774,200,17.606589
-1439.479845,200,18.385121
-1382.064017,200,19.21986
-1512.156978,200,19.99141
-1509.128868,200,20.839174
-1131.911246,200,21.730953
-1070.03409,200,22.550949
-1454.125394,200,23.392056
-1503.40028,200,24.426637
-1089.396022,200,25.35094
-1127.89441,200,26.169385
-1332.91001,200,26.949955
-1533.463826,200,27.841597
-1280.764668,200,28.68396
-1124.376911,200,29.494831
-1360.148393,200,30.283816
-672.006224,200,31.055489
-1504.891246,200,31.862768
-785.385402,200,32.642725
-1507.123772,200,33.534999
-1062.729698,200,34.514852
-1352.960404,200,35.366549
-986.070358,200,36.34668
-1325.455069,200,37.14686
-1561.696793,200,37.852034
-1241.294417,200,38.674767
-1116.81882,200,39.47795
-1358.781661,200,40.269438
-1064.621699,200,41.106123
-1291.495279,200,42.032169
-1198.234452,200,42.86419
-1329.70206,200,43.943647
-1120.322705,200,44.918315
-922.994648,200,45.782142
-1332.303626,200,46.744397
-1060.998718,200,47.609112
-1483.571656,200,48.433458
-1188.217057,200,49.254234
-641.485919,200,50.164377
-1506.224973,200,50.925519
-1329.758421,200,51.850856
-1305.841387,200,52.818434
-1603.779662,200,53.700513
-1011.764175,200,54.594583
-516.625929,200,55.384594
-894.994031,200,56.392161
-1072.28916,200,57.180255
-1341.798775,200,58.011245
-709.502309,200,59.065374
-1080.699196,200,59.87903
-435.234072,200,60.6761
-1058.754529,200,61.47624
-1251.132289,200,62.276179
-1088.75,200,63.191774
-492.675369,200,64.095269
-1413.36022,200,64.869262
-1428.846953,200,65.666441
-1365.49342,200,66.42046
-1194.472735,200,67.205421
-903.339913,200,67.988931
-1339.753534,200,68.792735
-1092.136181,200,69.592139
-1353.80186,200,70.380845
-844.069754,200,71.174912
-885.751455,200,72.195301
-0.533743,200,72.975977
-1073.438579,200,73.761556
-868.348773,200,74.538708
-718.780648,200,75.283569
-1571.342548,200,76.053669
-245.086284,200,76.875516
-525.410123,200,77.664075
-1088.838824,200,78.443232
-1046.982347,200,79.238763
-235.359784,200,80.025446
-1155.015519,200,80.825108
-1174.765161,200,81.594548
-252.307831,200,82.363705
-1325.695383,200,83.139558
-240.436919,200,83.939649
-491.132145,200,84.75358
-827.811411,200,85.542552
-634.826326,200,86.407417
-1157.387707,200,87.375575
-494.054172,200,88.159799
-256.513871,200,88.975505
-524.287067,200,89.795499
-120.618672,200,90.572973
-255.050748,200,91.381392
-1040.509891,200,92.226529
-898.947167,200,93.20204
-135.746764,200,94.167332
-852.221938,200,95.210537
-130.900886,200,96.2013
-133.326897,200,97.398543
-541.603442,200,98.670534
-122.351808,200,100.007765
-134.5067,200,101.051489
-335.4246,200,102.285541
-255.230088,200,103.532378
-130.205766,200,104.698464
-243.776598,200,105.820782
-370.509293,200,107.003232
-1.81842,200,108.109494
-240.82279,200,109.20525
-130.301856,200,110.282407
-394.788973,200,111.489074
-807.219799,200,112.64665
-249.633047,200,113.716193
-127.442177,200,114.818089
-0.713547,200,116.046485
-335.321999,200,117.195825
-257.763466,200,118.276803
-132.246773,200,119.356945
-248.047709,200,120.517106
-124.52882,200,121.65011
-0.384624,200,122.844725
-119.473762,200,124.110968
-330.960115,200,125.351964
-129.17385,200,126.452167
-252.884566,200,127.364063
-135.676339,200,128.208218
-2.479945,200,129.062906
-360.146241,200,129.856567
-246.911079,200,130.690922
-993.805224,200,131.511666
-255.191736,200,132.321486
-256.15095,200,133.109055
-129.812252,200,133.908517
-226.48357,200,134.688389
-5.097682,200,135.523216
-135.913397,200,136.318206
-362.638222,200,137.091675
-248.01775,200,137.860846
-3.038825,200,138.623982
-141.74302,200,139.437307
-240.021191,200,140.240104
-133.413809,200,141.022144
-256.688462,200,141.811859
-125.360447,200,142.616898
-6.513677,200,143.427208
-4.014146,200,144.136822
-131.448809,200,144.854257
-388.578887,200,145.612036
-1081.003792,200,146.440508
-117.612157,200,147.48874
-6.716297,200,148.403939
-131.696077,200,149.477362
-353.058541,200,150.595577
-228.094007,200,151.590847
-129.659366,200,152.424556
-129.337544,200,153.314613
-1.843201,200,154.2885
-239.238851,200,155.581087
-127.308784,200,156.818717
-1043.211675,200,157.996763
-473.150237,200,159.163751
-7.642771,200,160.348936
-3.228734,200,161.561831
-1.408624,200,162.711535
-136.183812,200,163.929896
-129.346941,200,164.823441
-138.549783,200,165.647818
-2.444377,200,166.626978
-277.969673,200,167.519788
-130.165741,200,168.340394
-4.763261,200,169.236866
-132.404478,200,170.06746
-127.644591,200,170.903566
-1054.452004,200,171.698103
-11.370574,200,172.579401
-239.814338,200,173.436112
-133.637643,200,174.264721
-125.212833,200,175.07145
-381.105467,200,175.87916
-119.664167,200,176.691626
-126.302006,200,177.473278
-124.042531,200,178.25998
-133.403194,200,179.045604
-348.16606,200,179.837279
-264.07202,200,180.69573
-124.47165,200,181.493001
-128.888124,200,182.311416
-3.089213,200,183.113724
-136.920077,200,184.026427
-131.032465,200,185.012414
-236.618949,200,185.986439
-7.777565,200,186.797799
-115.719457,200,187.630615
-132.620069,200,188.529933
-824.441535,200,189.375424
-118.62352,200,190.178445
-251.389938,200,190.967963
-118.93425,200,191.745037
-125.106179,200,192.526805
-1187.036631,200,193.42554
-239.107397,200,194.511568
-1.2,200,195.532963
-128.649429,200,196.511837
-127.043057,200,197.500525
-142.090604,200,198.602419
-121.572492,200,199.659491
-129.750208,200,200.741179
-4.928809,200,201.90856
-1010.837535,200,203.081082
-124.483022,200,204.226739
-1179.574236,200,205.243931
-117.837177,200,206.277892
-121.643142,200,207.23983
-132.518291,200,208.31639
-1149.089782,200,209.482764
-123.960448,200,210.552657
-340.175893,200,211.636837
-116.496427,200,212.697625
-256.749751,200,213.733273
-892.907896,200,214.791337
-879.009446,200,215.893527
-124.316683,200,216.819919
-853.82287,200,217.635557
-117.371142,200,218.646367
-125.055,200,219.698456
-1046.046899,200,220.513711
-131.603237,200,221.319189
-126.961997,200,222.131893
-0.668036,200,222.954188
-395.153568,200,223.783181
-244.528926,200,224.584554
-244.546685,200,225.477338
-126.0386,200,226.271225
-233.877542,200,227.084158
-336.035223,200,227.958378
-135.692495,200,228.768561
-247.538188,200,229.576287
-1037.262425,200,230.379452
-126.360977,200,231.141509
-1027.251858,200,231.949063
-1168.614214,200,232.751239
-10.569938,200,233.530882
-120.661549,200,234.305329
-128.174821,200,235.142709
-128.084101,200,236.01184
-258.707792,200,236.766829
-125.212233,200,237.57628
-1017.920784,200,238.374856
-0.044435,200,239.157163
-244.394125,200,239.957446
-0.187031,200,240.775105
-116.933762,200,241.574636
-237.603278,200,242.404877
-128.331283,200,243.210863
-364.60436,200,244.097704
-382.777297,200,244.945232
-339.173837,200,245.725051
-241.764517,200,246.495164
-1.465673,200,247.366933
-131.199023,200,248.127255
-128.900434,200,248.930431
-263.554899,200,249.687222
-255.461852,200,250.504507
-268.697925,200,251.295365
-0.482504,200,252.168348
-242.953254,200,252.976204
-1.498923,200,253.787357
-390.035187,200,254.594672
-358.153414,200,255.381805
-116.706401,200,256.186122
-353.460594,200,256.999254
-129.73374,200,257.800311
-122.076969,200,258.576264
-260.269416,200,259.441856
-132.500759,200,260.413018
-131.639831,200,261.336214
-2.378618,200,262.396129
-129.535231,200,263.217191
-238.63244,200,264.041017
-132.222619,200,264.8059
-367.157938,200,265.650019
-246.638558,200,266.440143
-251.869041,200,267.233681
-121.521614,200,268.030556
-125.559572,200,268.924645
-230.582616,200,269.725505
-417.372162,200,270.493231
-2.620559,200,271.299234
-466.800652,200,272.093498
-344.987772,200,272.891888
-123.407655,200,273.709156
-259.109997,200,274.495211
-241.88931,200,275.264962
-257.172622,200,275.951817
-1.090813,200,276.766916
-7.283393,200,277.550539
-131.43824,200,278.365324
-135.09911,200,279.134704
-246.273083,200,279.942451
-130.963205,200,280.749297
-306.000088,200,281.526832
-118.410507,200,282.318492
-7.447325,200,283.092993
-137.949235,200,283.909211
-1.41056,200,284.803973
-0.681916,200,285.584007
-134.949386,200,286.374188
-251.417426,200,287.1681
-0.392905,200,287.956101
-254.844226,200,288.735476
-121.372719,200,289.54482
-127.384723,200,290.35964
-121.572429,200,291.13213
-223.213375,200,291.934426
-126.378116,200,292.831382
-119.741662,200,293.634561
-130.216277,200,294.447966
-252.158296,200,295.318246
-119.527889,200,296.020739
-875.245758,200,296.707982
-933.309877,200,297.398897
-131.86807,200,298.085278
-288.192136,200,298.771932
-131.455376,200,299.458889
-128.197516,200,300.235379
-261.120603,200,300.92194
-8.224537,200,301.606697
-242.033251,200,302.296933
-234.719787,200,302.982352
-383.568894,200,303.668187
-257.295209,200,304.429227
-9.937763,200,305.230226
-365.301346,200,306.023565
-133.910341,200,306.832553
-519.462118,200,307.747549
-289.131799,200,308.547653
-358.485568,200,309.339108
-253.091829,200,310.028295
-116.944164,200,310.718584
-132.674921,200,311.458403
-116.268325,200,312.250624
-835.981578,200,313.055993
-730.281886,200,313.854691
-127.57451,200,314.648248
-403.149105,200,315.557144
-1053.250194,200,316.36544
-476.82143,200,317.156637
-253.768715,200,317.96971
-126.901584,200,318.758467
-1027.266071,200,319.553424
-903.65168,200,320.354482
-252.607087,200,321.166456
-121.390771,200,321.97727
-131.187709,200,322.762254
-480.226051,200,323.650503
-249.911035,200,324.465504
-239.197731,200,325.278467
-247.079216,200,326.083013
-248.719374,200,326.900067
-121.955634,200,327.696611
-125.048372,200,328.507187
-245.934376,200,329.334782
-139.622484,200,330.133214
-373.936363,200,330.925416
-248.338219,200,331.817147
-378.672334,200,332.62552
-384.30207,200,333.415698
-125.417295,200,334.195292
-1234.529779,200,335.008122
-248.468726,200,335.810568
-136.856976,200,336.609536
-1509.377726,200,337.405479
-251.732286,200,338.217416
-8.509689,200,338.90932
-248.633503,200,339.710517
-131.734101,200,340.402333
-247.502947,200,341.09092
-127.78634,200,341.77932
-229.253074,200,342.469763
-119.2776,200,343.160042
-483.036346,200,343.848682
-6.350488,200,344.538676
-5.779677,200,345.229187
-354.117862,200,345.91832
-124.125083,200,346.718201
-132.788609,200,347.407151
-127.712755,200,348.096397
-349.550157,200,348.785887
-979.693396,200,349.474874
-117.145005,200,350.185003
-477.101736,200,350.970164
-354.875218,200,351.765064
-243.394521,200,352.555574
-116.322021,200,353.362062
-1015.521722,200,354.274787
-883.914925,200,355.080612
-769.217317,200,355.878495
-125.846213,200,356.680867
-894.149236,200,357.471769
-129.441933,200,358.278375
-1491.725707,200,359.089059
-1000.642178,200,359.886151
-122.528579,200,360.674117
-2.657173,200,361.482715
-919.923768,200,362.404778
-1223.145746,200,363.214105
-128.238282,200,363.993217
-1035.546736,200,364.793167
-127.64785,200,365.569893
-448.321442,200,366.375834
-126.714595,200,367.161315
-12.519883,200,367.979704
-6.879689,200,368.753578
-235.513034,200,369.556174
-1316.98535,200,370.495457
-123.940685,200,371.303723
-862.687993,200,372.10061
-121.325229,200,372.917859
-384.009625,200,373.720191
-239.631859,200,374.543307
-236.940853,200,375.335002
-1492.911548,200,376.111674
-126.845555,200,376.912055
-247.181673,200,377.711508
-344.970586,200,378.635853
-466.556955,200,379.452975
-0.644209,200,380.23609
-1.070388,200,381.054511
-128.163951,200,381.861483
-345.719951,200,382.639254
-253.186868,200,383.423587
-236.444459,200,384.204488
-119.987275,200,385.007403
-789.812426,200,385.810148
-129.721323,200,386.727365
-234.088402,200,387.529142
-1050.869004,200,388.341496
-118.615559,200,389.130452
